epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3147.04,0.9883,1.04893,1.26207,1,0.98341,0.995,0.7966,0.73309,1.32158,1.17717,0.000717875,0.000717875,0.000717875
45,3208.86,0.97987,1.13037,1.23793,0.9068,0.97484,0.98591,0.81424,0.79185,1.33988,1.17416,0.0007055,0.0007055,0.0007055
46,3269.68,0.98928,1.06121,1.2807,0.90815,0.98962,0.98591,0.76923,0.87051,1.19152,1.20046,0.000693125,0.000693125,0.000693125
47,3330.97,1.02623,1.11587,1.32335,0.90848,0.99326,0.98591,0.80312,0.86809,1.03674,1.20227,0.00068075,0.00068075,0.00068075
48,3394.13,0.99943,1.05774,1.24571,1,0.99609,0.995,0.82155,0.86587,0.94853,1.20096,0.000668375,0.000668375,0.000668375
49,3455.34,1.02073,1.08633,1.2714,1,0.986,0.995,0.81067,0.80995,0.87591,1.19552,0.000656,0.000656,0.000656
50,3516.11,0.96142,0.99217,1.25076,0.90519,1,0.995,0.77426,0.8717,0.87461,1.19348,0.000643625,0.000643625,0.000643625
51,3578.59,0.95958,0.96612,1.22943,0.9531,1,0.995,0.73972,0.86793,0.88863,1.1658,0.00063125,0.00063125,0.00063125
52,3639.11,0.96337,0.97016,1.21094,0.98623,1,0.995,0.81837,0.73774,0.85294,1.09933,0.000618875,0.000618875,0.000618875
53,3700.07,0.98639,1.06581,1.25999,0.99423,1,0.995,0.81627,0.7578,0.85043,1.11722,0.0006065,0.0006065,0.0006065
54,3761.26,1.02495,1.12611,1.32739,1,0.98606,0.995,0.72901,0.88281,0.99058,1.14466,0.000594125,0.000594125,0.000594125
55,3823.18,0.97299,1.22073,1.26737,0.99238,1,0.995,0.75404,0.84276,1.00037,1.15259,0.00058175,0.00058175,0.00058175
56,3883.79,0.91655,0.94932,1.24227,0.99348,1,0.995,0.7562,0.75308,0.89238,1.18917,0.000569375,0.000569375,0.000569375
57,3943.83,0.86159,0.88914,1.19045,0.99166,1,0.995,0.67551,0.97374,0.83192,1.27003,0.000557,0.000557,0.000557
58,4004.29,0.86819,0.93815,1.21469,0.99472,1,0.995,0.66105,1.15824,0.85372,1.35163,0.000544625,0.000544625,0.000544625
59,4081.78,0.9241,0.87713,1.18478,0.99522,1,0.995,0.75245,0.93811,0.79128,1.28731,0.00053225,0.00053225,0.00053225
60,4152.72,0.8514,0.8097,1.17294,0.99544,1,0.995,0.75984,0.90291,0.78654,1.24971,0.000519875,0.000519875,0.000519875
61,4226.88,0.84178,0.91484,1.17144,0.99522,1,0.995,0.72917,0.98506,0.72844,1.29222,0.0005075,0.0005075,0.0005075
62,4301.69,0.77103,0.86806,1.14858,0.99542,1,0.995,0.79414,0.82755,0.69941,1.22908,0.000495125,0.000495125,0.000495125
63,4375.53,0.77288,0.91029,1.14751,0.9959,1,0.995,0.7943,0.80346,0.72955,1.20699,0.00048275,0.00048275,0.00048275
64,4441.92,0.82817,0.81373,1.15663,0.99555,1,0.995,0.76523,0.8359,0.71698,1.22775,0.000470375,0.000470375,0.000470375
65,4518.72,0.81579,0.81802,1.17738,0.995,1,0.995,0.73118,1.03807,0.76423,1.27517,0.000458,0.000458,0.000458
66,4601.85,0.86298,0.81398,1.16412,0.99848,1,0.995,0.79297,0.82028,0.74278,1.17379,0.000445625,0.000445625,0.000445625
67,4672.97,0.82318,0.81005,1.17038,1,0.99885,0.995,0.80501,0.70772,0.77361,1.1485,0.00043325,0.00043325,0.00043325
68,4742.2,0.8332,0.82331,1.16868,0.99874,1,0.995,0.80596,0.74801,0.68692,1.12675,0.000420875,0.000420875,0.000420875
69,4819.42,0.81583,0.80173,1.12807,1,0.98462,0.995,0.74926,0.84121,0.70821,1.14882,0.0004085,0.0004085,0.0004085
70,4895.96,0.76501,0.74263,1.10922,0.90883,0.99711,0.98591,0.79291,0.76244,0.73116,1.08405,0.000396125,0.000396125,0.000396125
