epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,8297.79,0.95805,0.67083,1.19243,1,1,0.995,0.6411,1.40431,2.03015,1.79947,0.000717875,0.000717875,0.000717875
45,8479.59,0.93024,0.70029,1.18832,1,1,0.995,0.6212,1.31852,1.90482,1.57021,0.0007055,0.0007055,0.0007055
46,8664.24,0.95048,0.68223,1.19497,0.96238,1,0.995,0.68696,1.30832,1.2846,1.45218,0.000693125,0.000693125,0.000693125
47,8845.06,0.98735,0.67142,1.21831,0.99842,1,0.995,0.6905,1.07331,0.98273,1.39163,0.00068075,0.00068075,0.00068075
48,9030.72,0.91174,0.61739,1.16221,1,0.59454,0.995,0.64944,1.21714,2.24224,1.39748,0.000668375,0.000668375,0.000668375
49,9235.08,0.96794,0.6461,1.18366,1,0.59664,0.995,0.6342,1.2307,2.33691,1.51486,0.000656,0.000656,0.000656
50,9428.94,0.92998,0.62343,1.16252,1,0.87033,0.995,0.67062,1.24383,1.83426,1.45534,0.000643625,0.000643625,0.000643625
51,9622.47,0.92537,0.62689,1.17052,1,0.91,0.995,0.67196,1.26387,1.63204,1.44391,0.00063125,0.00063125,0.00063125
52,9813.29,0.88562,0.60728,1.14492,0.97788,1,0.995,0.58525,1.46136,1.23971,1.63402,0.000618875,0.000618875,0.000618875
53,10004.2,0.90244,0.62643,1.16029,1,0.99178,0.995,0.69194,1.15988,0.808,1.55073,0.0006065,0.0006065,0.0006065
54,10198,0.88234,0.56096,1.15847,0.98824,1,0.995,0.64373,1.21341,0.9686,1.57238,0.000594125,0.000594125,0.000594125
55,10388.1,0.86909,0.58178,1.14008,0.98637,1,0.995,0.657,1.2636,1.05164,1.48315,0.00058175,0.00058175,0.00058175
56,10627.9,0.91174,0.59068,1.14623,1,1,0.995,0.70663,1.20148,1.37287,1.44427,0.000569375,0.000569375,0.000569375
57,10940.2,0.91549,0.63168,1.16227,1,1,0.995,0.70663,1.19203,1.87818,1.41531,0.000557,0.000557,0.000557
58,11184.4,0.89303,0.59262,1.15582,1,1,0.995,0.72335,1.20616,1.21276,1.47655,0.000544625,0.000544625,0.000544625
59,11462.8,0.89793,0.60953,1.18838,0.71429,1,0.995,0.653,1.29022,2.00731,1.55925,0.00053225,0.00053225,0.00053225
60,11728.8,0.86631,0.588,1.14633,1,1,0.995,0.705,1.29794,2.86378,1.46211,0.000519875,0.000519875,0.000519875
61,12002.8,0.88136,0.56424,1.15751,1,1,0.995,0.6693,1.32442,2.47678,1.52098,0.0005075,0.0005075,0.0005075
62,12186.4,0.87838,0.57845,1.12613,0.71429,1,0.995,0.66082,1.24932,2.19344,1.57676,0.000495125,0.000495125,0.000495125
